role_id,permission_id
1,nTSk4Y4SFKMyQmRD4ku0UCiNWIDe8OEt
1,n5TraVIrRoioG1kqdHsIaZLYDvxO8MFD
1,W8Xmv3hiIyIpkZfJMaL9MsRxxuSIiO5R
1,lJFsnYJCnFcVPVBBUOQrmlv3b6Y2X2ZE
2,nrPqEhq2TX0mI7qT7glaOCJ7Iqx2QtPs
2,v216XcAzgbt4mIjj6gZP2rdRTupXz0AO
2,QpKVz00WUbZVJMPFu3iBNGBTdMFYubQ2
2,1z9Sv2fC1ALXdM80L0QHs9c3HLDoAOO8
1,G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy
2,G8aCoYYCgE8fAwegn0MvWjxMXhxIIrhy
1,m0D4LIsO7V79aDueMDjgWGOmp8mPW6c0
