id_cat_lengua,descripcion
1,ESPAÑOL
2,TZOTZIL
3,TOJOLABAL
4,TZELTAL
5,CHOL
6,ZOQUE
7,MAME
8,KANJOBAL
9,CHUJ
10,OTRO
11,NO ESPECIFICADO
