id_cat_t_camino,descripcion
1,PAVIMENTO
2,TERRACERIA TODO EL AÑO
3,TERRACERIA EN TIEMPO SECO
4,BRECHA
5,VEREDA Y CAM. DE HERRADURA
7,ACUATICO
8,AEREO
9,PAVIMENTADO Y TERRACERIA
10,PAVIMENTADO Y BRECHA
11,PAVIMENTO Y VEREDA
12,TERRACERIA Y BRECHA
13,TERRACERIA, BRECHA Y VEREDA
14,TERRACERIA Y ACUATICO
15,PAVIMENTADO Y ACUATICO
16,SIN CAPTURA
