id_jurisdiccion,clave,descripcion
1,,TUXTLA GUTIERREZ
2,,SAN CRISTÓBAL DE LAS CASAS
3,,COMITÁN DE DOMÍNGUEZ
4,,VILLAFLORES
5,,PICHUCALCO
6,,PALENQUE
7,,TAPACHULA
8,,TONALÁ
9,,OCOSINGO
10,,MOTOZINTLA
